POOL B2
Nicoletta Marchesi  	2 - 1	Sonja Blecher       
Ippolito Laurito    	1 - 2	Krimhilde Michaelis 
Leonardo Bussolini  	2 - 1	Barnaba Alò         
Letizia Fava        	1 - 1	Fabiola Portoghese  
Anselma Sarto       	3 - 0	Eustorgio Tamaro    
Barnaba Alò         	1 - 1	Letizia Fava        
Sonja Blecher       	2 - 1	Eustorgio Tamaro    
Fabiola Portoghese  	2 - 1	Anselma Sarto       
Krimhilde Michaelis 	2 - 1	Leonardo Bussolini  
Nicoletta Marchesi  	1 - 1	Ippolito Laurito    
Letizia Fava        	2 - 1	Krimhilde Michaelis 
Ippolito Laurito    	1 - 2	Sonja Blecher       
Leonardo Bussolini  	1 - 1	Nicoletta Marchesi  
Anselma Sarto       	1 - 1	Barnaba Alò         
Eustorgio Tamaro    	1 - 1	Fabiola Portoghese  
Krimhilde Michaelis 	1 - 1	Anselma Sarto       
Sonja Blecher       	1 - 1	Fabiola Portoghese  
Barnaba Alò         	1 - 1	Eustorgio Tamaro    
Nicoletta Marchesi  	1 - 1	Letizia Fava        
Ippolito Laurito    	1 - 1	Leonardo Bussolini  
Anselma Sarto       	1 - 1	Nicoletta Marchesi  
Leonardo Bussolini  	1 - 1	Sonja Blecher       
Letizia Fava        	1 - 1	Ippolito Laurito    
Eustorgio Tamaro    	1 - 1	Krimhilde Michaelis 
Fabiola Portoghese  	1 - 1	Barnaba Alò         
Nicoletta Marchesi  	2 - 1	Eustorgio Tamaro    
Sonja Blecher       	2 - 1	Barnaba Alò         
Krimhilde Michaelis 	2 - 1	Fabiola Portoghese  
Ippolito Laurito    	1 - 2	Anselma Sarto       
Leonardo Bussolini  	2 - 1	Letizia Fava        
Eustorgio Tamaro    	3 - 0	Ippolito Laurito    
Letizia Fava        	1 - 2	Sonja Blecher       
Anselma Sarto       	2 - 1	Leonardo Bussolini  
Fabiola Portoghese  	2 - 1	Nicoletta Marchesi  
Barnaba Alò         	1 - 1	Krimhilde Michaelis 
Ippolito Laurito    	1 - 1	Fabiola Portoghese  
Krimhilde Michaelis 	0 - 2	Sonja Blecher       
Nicoletta Marchesi  	1 - 2	Barnaba Alò         
Leonardo Bussolini  	1 - 2	Eustorgio Tamaro    
Letizia Fava        	1 - 1	Anselma Sarto       
Fabiola Portoghese  	2 - 1	Leonardo Bussolini  
Anselma Sarto       	2 - 1	Sonja Blecher       
Eustorgio Tamaro    	3 - 0	Letizia Fava        
Barnaba Alò         	2 - 1	Ippolito Laurito    
Krimhilde Michaelis 	2 - 1	Nicoletta Marchesi  
